ax,ay,az,gx,gy,gz,magnitude,timestamp
-1.042,0.085,0.095,-38.574,-128.296,-34.485,1.050,1773724755199
-0.997,0.051,0.104,-23.926,-72.754,-62.256,1.004,1773724755228
-0.943,-0.001,0.084,-24.109,-4.761,-71.777,0.947,1773724755255
-0.969,-0.026,0.040,-15.015,51.758,-65.674,0.970,1773724755317
-0.975,-0.046,-0.008,-0.610,91.248,-48.889,0.976,1773724755346
-1.065,-0.029,-0.057,13.489,118.530,-23.743,1.067,1773724755376
-1.074,-0.015,-0.111,23.865,124.207,3.052,1.080,1773724755439
-1.066,0.005,-0.150,36.438,100.037,25.757,1.076,1773724755465
-1.036,0.034,-0.175,28.503,63.477,48.401,1.052,1773724755494
-1.010,0.081,-0.158,19.287,-0.305,51.758,1.025,1773724755564
-0.985,0.100,-0.128,20.203,-41.077,39.429,0.999,1773724755584
-0.989,0.103,-0.057,6.409,-78.552,14.160,0.996,1773724755615
-1.021,0.092,-0.007,-1.709,-87.952,-8.118,1.025,1773724755678
-0.996,0.060,0.022,-4.822,-79.529,-26.184,0.998,1773724755706
-0.996,0.034,0.034,-12.878,-44.983,-33.936,0.997,1773724755741
-0.984,0.009,0.028,-10.925,-24.536,-34.973,0.984,1773724755799
-0.986,-0.015,0.010,-3.113,5.798,-31.006,0.986,1773724755827
-0.995,-0.027,-0.015,5.249,24.048,-15.564,0.995,1773724755858
-1.010,-0.022,-0.044,21.606,28.992,-2.319,1.012,1773724755915
-0.910,-0.021,-0.078,41.687,19.897,15.381,0.913,1773724755946
-1.037,0.040,-0.080,43.701,21.912,26.428,1.041,1773724755976
-0.991,0.048,-0.102,37.964,24.963,33.630,0.998,1773724756041
-0.992,0.062,-0.111,23.865,26.306,38.025,1.000,1773724756065
-0.940,0.066,-0.115,27.222,15.259,31.555,0.950,1773724756096
-1.035,0.100,-0.107,8.911,11.108,17.578,1.045,1773724756158
-0.994,0.078,-0.104,8.057,-6.592,-4.578,1.002,1773724756185
-1.004,0.053,-0.090,5.554,-18.616,-18.555,1.010,1773724756216
-0.986,0.012,-0.074,1.160,-29.846,-30.273,0.989,1773724756281
-0.999,-0.002,-0.054,-4.150,-30.945,-28.625,1.001,1773724756307
-1.040,0.001,-0.027,-2.747,-27.954,-20.813,1.040,1773724756335
-0.984,-0.023,-0.023,1.221,-18.738,-12.634,0.985,1773724756404
-1.003,-0.009,-0.017,-0.732,-5.981,1.404,1.003,1773724756426
-0.981,0.001,-0.027,3.113,12.329,12.512,0.982,1773724756454
-0.975,0.025,-0.049,-0.977,28.503,21.851,0.977,1773724756517
-0.995,0.048,-0.072,0.183,35.278,21.057,0.999,1773724756547
-0.975,0.053,-0.097,3.540,30.701,15.930,0.981,1773724756575
-1.006,0.064,-0.106,3.845,17.090,4.700,1.013,1773724756636
-0.980,0.051,-0.111,0.854,0.916,-5.127,0.987,1773724756667
-0.995,0.039,-0.090,1.953,-14.404,-10.925,1.000,1773724756695
-1.014,0.029,-0.062,-0.061,-22.522,-15.259,1.016,1773724756759
-1.006,0.012,-0.041,-2.686,-23.132,-13.672,1.007,1773724756788
-0.987,0.006,-0.032,-3.113,-20.081,-11.841,0.987,1773724756816
-0.977,-0.000,-0.023,-1.221,-13.672,-6.287,0.977,1773724756877
-1.011,0.012,-0.015,-0.732,-3.113,0.305,1.011,1773724756904
-0.982,0.010,-0.025,-1.404,9.521,5.005,0.983,1773724756934
-0.985,0.026,-0.040,-1.221,17.822,9.460,0.986,1773724756997
-1.009,0.039,-0.057,-5.676,26.855,10.986,1.012,1773724757027
-0.985,0.036,-0.091,-1.831,22.888,4.944,0.990,1773724757055
-0.969,0.027,-0.099,-0.732,9.888,3.906,0.974,1773724757116
-0.990,0.038,-0.095,-3.601,1.526,1.587,0.996,1773724757147
-0.981,0.032,-0.076,4.700,-18.372,-6.714,0.984,1773724757175
-1.017,0.033,-0.044,-1.099,-19.043,-6.470,1.019,1773724757240
-1.006,0.023,-0.034,-1.160,-18.921,-8.545,1.006,1773724757266
-0.984,0.011,-0.024,0.122,-16.418,-4.517,0.984,1773724757295
-1.001,0.020,-0.015,-1.892,-7.202,1.282,1.001,1773724757359
